lon,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan_daily,Feb_daily,Mar_daily,Apr_daily,May_daily,Jun_daily,Jul_daily,Aug_daily,Sep_daily,Oct_daily,Nov_daily,Dec_daily
120.6,22.65,5.316,5.591,9.671,31.446,170.037,369.298,403.75,426.333,232.971,56.126,3.858,1.89,0.17,0.20,0.31,1.05,5.49,12.31,13.02,13.75,7.77,1.81,0.13,0.06
120.1,23,5.36,6.568,8.3,33.089,107.414,279.089,238.52,200.276,66.24,1.273,1.896,2.121,0.17,0.23,0.27,1.10,3.46,9.30,7.69,6.46,2.21,0.04,0.06,0.07
120.6,22.85,5.425,5.934,10.594,35.528,177.866,367.278,382.042,434.741,208.754,32.313,3.098,1.448,0.18,0.21,0.34,1.18,5.74,12.24,12.32,14.02,6.96,1.04,0.10,0.05
120.4,22.95,5.435,7.586,10.185,34.975,145.437,337.354,282.146,329.24,121.2,7.906,2.83,2.308,0.18,0.27,0.33,1.17,4.69,11.25,9.10,10.62,4.04,0.26,0.09,0.07
120.65,22.4,5.442,5.709,8.852,40.366,161.128,407.49,382.315,518.498,230.139,32.806,5.96,4.111,0.18,0.20,0.29,1.35,5.20,13.58,12.33,16.73,7.67,1.06,0.20,0.13
120.75,22.2,5.476,4.682,5.797,14.942,104.409,324.178,297.948,342.691,180.224,25.408,6.411,5.306,0.18,0.17,0.19,0.50,3.37,10.81,9.61,11.05,6.01,0.82,0.21,0.17
120.25,22.9,5.478,7.325,7.948,31.12,132.37,333.018,234.913,273.458,86.128,2.98,1.859,1.388,0.18,0.26,0.26,1.04,4.27,11.10,7.58,8.82,2.87,0.10,0.06,0.04
120.55,22.55,5.501,4.234,8.916,26.812,127.308,359.973,375.102,391.146,193.158,27.682,3.126,2.703,0.18,0.15,0.29,0.89,4.11,12.00,12.10,12.62,6.44,0.89,0.10,0.09
120.85,22.9,5.523,8.05,14.817,31.47,159.662,284.854,219.72,267.062,118.262,23.397,4.98,5.022,0.18,0.29,0.48,1.05,5.15,9.50,7.09,8.61,3.94,0.75,0.17,0.16
120.85,22.9,5.523,8.05,14.817,31.47,159.662,284.854,219.72,267.062,118.262,23.397,4.98,5.022,0.18,0.29,0.48,1.05,5.15,9.50,7.09,8.61,3.94,0.75,0.17,0.16
120.5,22.55,5.574,4.111,7.63,28.871,116.44,328.832,310.374,318.681,158.095,17.824,1.422,2.28,0.18,0.15,0.25,0.96,3.76,10.96,10.01,10.28,5.27,0.57,0.05,0.07
120.6,22.7,5.595,7.458,11.394,37.248,182.048,403.725,386.962,391.94,236.642,49.802,4.524,2.564,0.18,0.27,0.37,1.24,5.87,13.46,12.48,12.64,7.89,1.61,0.15,0.08
120.55,22.9,5.61,9.464,11.61,33.772,193.442,395.595,424.94,492.018,176.518,26.848,4.19,3.392,0.18,0.34,0.37,1.13,6.24,13.19,13.71,15.87,5.88,0.87,0.14,0.11
120.6,22.95,5.612,8.786,13.176,41.732,215.484,405.384,459.61,476.111,214.278,26.757,5.258,2.666,0.18,0.31,0.43,1.39,6.95,13.51,14.83,15.36,7.14,0.86,0.18,0.09
120.2,22.85,5.613,4.84,7.608,33.603,118.126,329.427,217.261,256.399,73.361,3.463,0.958,0.955,0.18,0.17,0.25,1.12,3.81,10.98,7.01,8.27,2.45,0.11,0.03,0.03
